Month,sg20y,sg20yl1,sg15yl1,sg10yl1,sg5yl1,sg1yl1,uk1yl1,uk3yl1,uk5yl1,uk7yl1,uk10yl1,uk25yl1,jp1yl1,jp2yl1,jp3yl1,jp5yl1,jp7yl1,jp10yl1,jp20yl1,jp30yl1,prc3ml1,prc6ml1,prc1yl1,prc3yl1,prc5yl1,prc7yl1,prc10yl1,prc30yl1,us1ml1,us3ml1,us6ml1,us1yl1,us2yl1,us3yl1,us5yl1,us7yl1,us10yl1,us20yl1,us30yl1,prcinfl1,jpinfl1,sginfl1,ukinfl1,usinfl1,prcipgrl2,jpipgrl2,sgipgrl2,ukipgrl2,usipgrl2,prcdeprl1,jpdeprl1,sgdeprl1,ukdeprl1,sgtradegrl1,prcequityl1,jpequityl1,sgequityl1,ukequityl1,usequityl1
Jan-09,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-09,3.06,2.64,2.41,2.13,1.47,0.75,0.906892433,2.059264649,2.695327862,3.045056391,3.389166792,3.978873248,0.308,0.358,0.463,0.678,0.807,1.212,1.797,1.886,0.9506,1.0098,1.0836,1.2796,1.8167,2.1439,2.7102,3.6305,0.04,0.08,0.28,0.4,0.88,1.14,1.72,2.07,2.46,3.22,2.83,0.009,-0.005186667,7.02E-05,-0.005740528,0.004352437,0.114459024,-0.080838733,-0.077906072,0.001040399,-0.028314969,0.002407057,-0.008052995,0.055520593,-0.016589679,-0.231506259,0.09,-0.097692189,0.082521314,0.090685256,-0.085657343
Mar-09,3.06,3.06,2.69,2.04,1.35,0.49,0.953610629,1.988896897,2.872021879,3.498863696,4.076792294,4.66182754,0.318,0.396,0.52,0.743,0.866,1.304,1.883,1.989,0.92,0.9924,1.0737,1.4549,2.2958,2.6927,3.0502,3.775,0.19,0.27,0.39,0.51,0.89,1.27,1.75,2.16,2.76,3.75,3.47,0,-0.003128246,-0.003169331,0.006928406,0.004972976,0.103122391,-0.080347423,-0.146113261,-0.023908643,-0.024792518,-0.000117135,0.086187724,0.02378271,-0.00936657,0.037964163,0.05,-0.053243336,-0.067999847,-0.080373554,-0.109931198
Apr-09,2.99,3.06,2.69,2.06,1.07,0.44,0.772990805,1.830275646,2.617081231,3.198480268,3.815129322,4.676098852,0.347,0.393,0.503,0.733,0.853,1.32,1.92,2.044,0.9069,0.9221,1.0031,1.6868,2.4174,2.759,3.1582,3.9683,0.17,0.28,0.45,0.67,0.89,1.28,1.86,2.54,2.91,3.89,3.64,-0.003,0.003138063,-0.005690084,0.001146789,0.002431683,0.007929531,-0.08382531,0.136348657,0,-0.006108698,-0.000380735,0.013310157,-0.015465252,0.004691146,0.085215244,0.14,0.071495751,-0.100798105,-0.110832365,0.085404462
May-09,3.05,2.99,2.59,2.04,1.41,0.43,0.690252352,1.829076613,2.465265658,2.832734505,3.301454106,4.439672467,0.303,0.398,0.515,0.771,0.945,1.34,1.948,2.085,0.8746,0.9303,0.9643,1.6269,2.3429,2.8306,3.1618,3.9896,0.18,0.22,0.41,0.58,0.83,1.16,1.65,2.25,2.68,3.54,3.51,-0.002,0.00104268,-0.006430603,0.002290951,0.002496429,-0.023507192,0.009020597,-0.070579279,-0.007454839,-0.015503078,-0.00246107,-0.00282913,-0.025172527,0.030892426,-0.008775527,0.04,0.088627824,0.110121299,0.090952968,0.09392508
Jun-09,3.29,3.05,2.67,2.1,1.35,0.31,0.665970528,1.881216483,2.594003034,3.057201302,3.636144578,4.622941645,0.267,0.371,0.497,0.807,1.015,1.398,2.005,2.151,0.8483,0.9094,1.0114,1.7768,2.4138,2.8231,3.1092,3.9961,0.06,0.16,0.31,0.49,0.92,1.39,2.03,2.72,3.21,4.14,4.09,-0.003,-0.002083291,0.005344037,0.004571429,0.002888798,0.031233454,0.043422862,0.170892,0.013948584,-0.007991424,0.001292312,-0.034228452,-0.026901294,0.094029723,-0.034293313,0.06,0.078638401,0.191774465,0.072709392,0.053081446
Jul-09,3.25,3.29,3.07,2.64,1.31,0.33,0.659548634,1.975527297,2.715402428,3.198482765,3.814105761,4.810483389,0.186,0.345,0.499,0.837,1.134,1.499,2.152,2.269,0.9022,0.915,0.9566,1.6382,2.3779,2.7952,3.0615,3.9514,0.13,0.13,0.29,0.48,0.97,1.52,2.55,3.28,3.71,4.56,4.55,-0.005,-0.00208764,-0.004406067,0.002275313,0.008589782,-0.078816651,0.03671965,-0.030262654,-0.014814812,-0.009753015,0.000322661,0.010691257,0.002909998,0.017817353,0.029992686,0.12,0.04578004,0.173193803,0.061974161,0.000195827
Aug-09,3.2,3.25,3.07,2.64,1.45,0.35,0.832619103,2.361140293,2.971656143,3.277856004,3.702998684,4.627679417,0.178,0.287,0.413,0.707,0.942,1.352,2.03,2.176,0.8782,0.9403,0.981,1.8052,2.4853,2.9245,3.23,4.0326,0.13,0.17,0.33,0.54,1.05,1.57,2.51,3.2,3.55,4.32,4.34,0,-0.003138165,0.008542648,-0.001135074,-0.001585439,0.079084201,0.016528886,0.021176834,0.005370539,-0.003046552,0.000234587,-0.017554079,-0.006079447,0.014466623,0.092727559,0.15,0.040005225,-0.011562685,-0.036722819,0.074141727
Sep-09,3.23,3.2,2.93,2.44,1.34,0.35,0.740139047,2.378652682,3.082966033,3.467104161,3.912490669,4.766274139,0.198,0.275,0.414,0.736,1.008,1.444,2.139,2.32,1.2665,1.5439,1.6265,2.4357,2.9745,3.271,3.5034,4.08,0.15,0.19,0.28,0.48,1.18,1.72,2.66,3.3,3.66,4.4,4.42,0.005,0.003148044,0.003576344,0.003409091,0.002242819,0.130812252,0.011614423,0.2019779,0.009615412,0.011944364,-0.000131924,-0.018702409,0.001807187,-0.024731384,-0.062651376,-0.22,0.013102483,0.139886506,0.07873136,0.033560189
Oct-09,3.17,3.23,3.07,2.46,1.3,0.37,0.582546158,1.985564352,2.687684898,3.145513577,3.631261899,4.203871956,0.173,0.24,0.321,0.628,0.871,1.323,2.08,2.236,1.2828,1.4116,1.6274,2.3562,2.9025,3.1628,3.481,4.0858,0.08,0.14,0.23,0.43,0.92,1.44,2.33,2.99,3.38,4.14,4.19,0.004,0,-0.003504988,0,0.000625393,-0.047197231,0.014925321,-0.0681303,-0.020105787,0.01116976,-0.000703689,-0.032303219,-0.022826615,-0.017794064,0.083507648,0.04,-0.03424339,-0.031790248,0.02930938,0.035723346
