Index,ann,bss5cv,bssaic,bssaiciv,bssbic,enet1se,enetmin,fss5cv,fssaic,fssaiciv,fssbic,lasso1se,lassomin,ridge1se,ridgemin,randomforest,xgboost
cvmse,0.02980941,0.02824812,0.02387185,0.02411753,0.02795801,0.03470996,0.03281803,0.0277076,0.02759278,0.02683617,0.02805243,0.03484349,0.03282932,0.03194331,0.03194331,0.03266884,0.03104606
Jan-21,1.37264678,1.180898242,1.175832918,1.149590751,1.165163646,1.413559975,1.311970188,1.238840595,1.18084835,1.162582197,1.335036284,1.373163872,1.308318526,1.563036487,1.391756465,1.252046667,1.241731882
Feb-21,1.414224595,1.230019341,1.199648458,1.206968846,1.193333023,1.40864696,1.353704806,1.288390242,1.210584321,1.160795963,1.318546666,1.408206564,1.351535568,1.551884595,1.452483781,1.242532778,1.275884867
Mar-21,1.595679127,1.443143558,1.305309773,1.317994222,1.41350832,1.550657654,1.517156531,1.508104456,1.429038312,1.359902013,1.441902901,1.537976209,1.517528384,1.675380161,1.595840963,1.378896296,1.425061584
Apr-21,1.874992546,1.725307928,1.672900297,1.658851421,1.682832686,1.857188483,1.784418502,1.718354836,1.670960911,1.591311531,1.793554185,1.842022072,1.778598403,1.923729595,1.838718729,1.913614815,1.815255523
May-21,1.974148258,1.871872137,1.908141146,1.885152905,1.78986191,2.139783099,2.04676793,1.895663339,1.823670738,1.804017149,2.089163241,2.129323622,2.049783464,1.927190267,1.910966568,2.158153704,2.074328661
Jun-21,2.060784592,1.819544041,1.8777341,1.876254701,1.730606091,2.111659578,2.08430215,2.014623571,1.976861228,1.978481638,2.023878992,2.094253235,2.085159289,2.019883479,2.074650312,2.072659259,2.206330061
Jul-21,2.039963307,1.827883578,1.893553853,1.91204082,1.736365273,2.017939858,1.957360026,1.935244728,1.883935128,1.866797802,1.903073926,1.985209566,1.935793534,2.033499447,2.035172424,1.963255926,2.002440214
Aug-21,1.945956984,1.736592549,1.78570289,1.813199868,1.676613462,1.963909345,1.96269109,1.926228302,1.898362296,1.909924795,1.885453198,1.948779752,1.961559594,1.960620714,1.959294463,1.927428333,1.825071096
Sep-21,1.680933211,1.549439804,1.509120358,1.483726704,1.497584341,1.771357876,1.67912681,1.541541274,1.528800366,1.506129301,1.678474689,1.766619244,1.689023836,1.744986291,1.677731045,1.685464259,1.711813569
Oct-21,1.82792352,1.680678482,1.607657965,1.595459002,1.633952321,1.921991461,1.803656762,1.684957447,1.696735411,1.690432799,1.914291382,1.940519544,1.841179483,1.847327425,1.820515122,1.830748148,1.951001525
Nov-21,1.958924267,1.875042353,1.919307253,1.911156887,1.840136027,2.069704869,2.024185447,1.924527292,1.929299527,1.956674128,1.999090045,2.056701375,2.027945374,1.958277318,1.922059894,1.965430185,1.963980794
Dec-21,2.153287588,2.059503844,2.049247385,2.044627546,2.034476539,2.229138613,2.208375829,2.209145685,2.153990472,2.196860347,2.223110973,2.229757916,2.217322813,2.15061965,2.140705387,2.105506296,2.008526087
Jan-22,2.04259868,1.942894916,1.932689345,1.942565262,1.921010993,2.085542425,2.057361157,2.098789226,2.064945502,2.08053764,2.036455213,2.083372013,2.057925201,2.056595946,2.049160646,1.899243333,2.063417196
Feb-22,2.105306663,2.015001432,2.002726102,1.993379166,2.003692342,2.132964407,2.101720338,2.161194735,2.127564292,2.146618822,2.149086149,2.150755419,2.115999652,2.101149835,2.085251374,2.033743333,2.066518545
Mar-22,2.175179137,2.151705864,2.022922167,2.016857788,2.176514081,2.096468603,2.096075621,2.187936037,2.189581556,2.181706784,2.039073998,2.080171476,2.09104291,2.182057141,2.12461436,2.198670185,2.048758268
Apr-22,2.305641177,2.359199494,2.272220188,2.269018965,2.411191729,2.219066477,2.256330855,2.351477092,2.376419966,2.359935591,2.218176905,2.179711988,2.222453952,2.305082353,2.281006286,2.290304815,2.330120087
May-22,2.743331464,2.798268271,2.64007376,2.631306355,2.87974197,2.669881454,2.709953752,2.783353605,2.803383511,2.888481917,2.791200933,2.673606694,2.70050577,2.798601209,2.79588575,2.731567778,2.725753069
